state,county,population,white,all_workers,public_transit,bike,walked,all_female_marital,female_married,poverty_status_denominator,in_poverty,median_income,housing_units,housing_units_single_detached,housing_units_single_attached
51,103,11224,7826,4683,43,15,41,5277,2732,11091,1209,49456,7517,6125,288
51,105,25380,23875,7504,49,0,90,10115,5313,23926,6226,31264,11752,8678,42
51,107,338916,232135,177460,5725,357,3054,128671,80264,337189,12942,123966,115599,62593,33148
51,109,33743,26507,15782,97,17,137,14173,8254,33602,3240,57126,16590,14085,356
51,111,12667,7845,4540,20,0,64,4938,2640,11243,2234,37881,5934,4561,9
51,113,13208,11358,6075,29,0,62,5626,3050,13037,1805,51641,5974,5528,99
51,115,8923,7842,3897,7,64,19,4125,2621,8838,805,63157,5694,4747,54
51,117,31913,19229,12250,55,0,205,13932,6661,30453,6075,37756,18642,13084,244
51,119,10817,8597,4368,38,9,110,4739,2554,10505,1030,54452,7188,6182,115
51,121,95808,83583,44111,1893,523,2019,39958,16754,86239,22046,44810,38875,19527,4808
51,125,14892,12450,6542,47,0,91,6541,3466,14717,2069,50131,9990,7460,276
51,127,19187,15688,9787,35,0,28,7808,4960,18600,1009,73030,7612,6905,235
51,131,12254,7535,4897,48,45,180,5496,2738,11990,2853,34656,7322,5905,162
51,133,12320,8681,4829,69,0,89,5594,3204,12302,1500,50774,9058,7816,38
51,135,15756,8880,5825,27,0,104,6110,3049,14490,3029,35911,6685,5309,83
51,137,34239,28257,14463,191,0,252,14265,7888,33708,4234,63538,14716,12296,343
51,139,23905,22916,9762,56,9,127,10135,5733,23674,4065,43063,11620,8974,249
51,141,18365,16981,6768,33,0,98,7966,4521,18140,3657,34753,10095,7150,120
51,143,62955,47318,26906,102,5,214,26837,15000,61936,9001,42311,31332,22284,229
51,145,28193,23853,12973,59,0,58,10818,6935,25316,1365,75447,10195,9572,111
51,147,23140,14739,8277,11,14,656,10142,3886,18636,4164,37238,9234,6060,114
51,149,36792,21952,15445,527,14,182,13325,7875,32454,3281,61071,12136,9415,925
51,153,428772,266081,221556,12431,389,3841,165183,94688,423575,27593,98514,141002,78837,37423
51,155,34630,31909,15350,73,17,178,14766,8289,33565,4567,45635,17245,12375,456
51,157,7446,6857,3430,76,0,117,3149,1967,7397,788,59753,3919,3815,15
51,159,9072,6067,2934,53,0,50,3358,1644,7151,922,47199,3878,3191,51
51,161,93194,83346,44814,175,76,306,40847,22103,91022,7175,60950,40319,30662,1968
51,163,22367,20998,9640,24,17,40,9680,5519,22131,2915,48550,11199,9047,114
51,165,77345,73299,36851,163,76,1069,32427,18671,75632,8230,53728,34087,24726,2382
51,167,28444,27615,10065,5,0,143,12135,6714,28124,5249,34768,13439,8830,268
51,169,22781,22385,8508,6,22,62,9581,5708,22210,4236,36579,11880,8196,60
51,171,42545,40054,19339,41,0,404,18009,9985,42059,5382,47936,20987,15376,1713
51,173,31876,30699,12911,77,0,142,13729,7396,31277,6044,37880,15401,10195,59
51,175,18364,11196,8393,19,1,131,7331,4071,17037,2471,49690,7531,5779,88
51,177,126200,93660,60828,1593,24,326,50900,28907,125230,10121,78505,45747,36128,3916
51,179,134672,94428,66797,2601,16,1372,52083,30811,130835,7125,98721,45107,33859,6141
51,181,6885,3556,3132,9,3,30,2976,1489,6885,786,51527,3478,2682,24
51,183,11923,4673,2823,15,0,20,2992,1441,7075,1589,36972,4201,2920,24
51,185,44331,42070,16217,14,4,245,18908,10486,42922,8375,36248,20737,13639,333
51,187,38142,34867,18297,49,10,341,15460,8153,37375,3682,60560,16037,13087,927
51,191,54833,52986,23885,70,0,504,23454,13094,53485,6576,42458,25694,18244,461
51,193,17518,11924,7172,81,38,326,7719,3520,17400,2215,48750,10717,9190,183
51,195,40872,37926,13704,58,0,240,16318,8693,37840,8593,37357,17906,11945,142
51,197,29259,27804,12659,158,0,152,12599,6880,28959,4379,40185,14139,9629,287
51,199,65808,50872,32174,110,29,898,26886,16345,64850,4039,80900,26953,17581,3774
51,510,146422,93493,91672,19720,962,3449,64524,28200,145129,12661,87319,73502,10860,15839
51,520,17595,15744,7120,83,62,181,7892,3624,17205,3369,33616,8829,5768,257
51,530,6683,6005,2922,0,4,143,2931,1464,6221,1424,32789,2929,2329,128
51,540,44505,31415,22173,1891,660,2557,20253,5946,41829,11517,47218,19603,9918,1724
51,550,228168,142696,109758,808,270,1693,93867,50657,221374,20035,70176,85540,57764,10725
51,570,17542,14150,7910,6,0,78,7762,3624,17322,1836,52529,7817,6024,162
51,580,5853,4818,2333,8,0,77,2322,1149,5768,1264,38176,3051,2680,49
51,590,42704,20004,15898,395,21,314,19249,7961,40971,10684,32173,22402,15772,331
51,595,5682,1762,2039,0,0,150,2524,895,5457,1887,30240,2722,1768,177
51,600,23507,16234,12346,1321,81,503,9943,5038,22883,2005,100584,8745,4821,1713
51,610,13074,10138,7254,1499,75,220,5476,2871,13066,602,120500,5492,2146,754
51,620,8534,3310,3162,0,0,143,3820,1283,8395,2164,33133,3878,2554,33
51,630,26632,17588,12304,481,79,728,12097,4053,24096,4634,49454,11037,4563,1119
51,640,6981,6441,2884,32,0,38,3095,1298,6721,1732,30430,3559,2463,32
51,650,136904,58796,63021,2040,139,1434,58782,25391,131988,20410,49879,60036,39091,3909
51,660,50821,43006,22787,659,361,1943,23671,6752,43328,14087,38807,17798,6229,4047
51,670,22375,12053,8912,81,15,105,9507,3579,21913,3885,39156,10185,7149,487
51,678,7114,6023,2079,0,44,621,2486,735,3615,699,36840,1944,1210,84
51,680,77626,50330,32965,1375,72,1697,34889,12901,67539,16591,39391,32153,18330,2361
51,683,40436,29696,20624,824,10,226,15655,8372,40366,4953,71215,13232,5767,3972
51,685,14992,10177,7937,441,104,81,5780,3041,14941,1396,73460,4895,2586,1277
51,690,13745,6782,4820,9,0,107,6260,2271,13240,3424,27746,7182,5138,92
51,700,181362,91978,88284,3372,176,3666,75604,32654,172654,26312,51000,76903,39230,8336
51,710,244745,116874,122106,4809,784,7912,96148,36778,220995,45195,44150,95699,46885,7895
51,720,4015,3623,1717,0,0,63,2076,702,3962,587,36148,1850,961,86
51,730,32439,5882,12227,260,7,293,14608,4642,31683,8714,33927,16475,9852,676
51,735,12103,11446,5910,0,16,11,5038,3179,12052,753,83460,4738,4035,259
51,740,96007,39631,42482,905,179,1414,40280,16680,92838,16886,46239,40876,25364,3016
51,750,16993,14558,6728,37,52,734,8021,1977,14020,5553,30284,6472,3506,259
